tag_id,zone,corridor,type,name,tag_x_mm,tag_y_mm,tag_z_mm,roll_deg,pitch_deg,yaw_deg,ref_tag_id,stop_x_mm,stop_y_mm,robot_heading_deg,arm_x_mm,arm_y_mm,arm_z_mm,arm_rx_deg,arm_ry_deg,arm_rz_deg,reach_tcp_m,reach_flange_m
0,plate,,Calibration,,-600.0,-1200.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
1,plate,,Calibration,,-600.0,0.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
2,plate,,Calibration,,-600.0,1200.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
3,plate,,Calibration,,600.0,1200.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
4,plate,,Calibration,,600.0,0.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
5,plate,,Calibration,,600.0,-1200.0,0.0,180.0,0.0,0.0,,,,,,,,,,,,
100,B,B,WORK,,-1710.0,-1850.0,-80.0,180.0,0.0,90.0,0,-1710.0,-2400.0,90.0,-1091.7,892.1,384.1,178.7,0.3,53.9,1.461,1.315
101,B,B,WORK,,-1710.0,-1450.0,-80.0,180.0,0.0,90.0,0,-1710.0,-2000.0,90.0,-713.8,875.0,384.1,178.7,0.3,43.9,1.193,1.076
102,B,B,WORK,,-1710.0,-1050.0,-80.0,180.0,0.0,90.0,0,-1710.0,-1600.0,90.0,-365.1,853.7,384.1,178.7,0.3,23.9,1.005,0.917
103,B,B,WORK,,-1710.0,-650.0,-80.0,180.0,0.0,90.0,0,-1710.0,-1200.0,90.0,-20.7,851.2,384.1,178.7,0.3,3.9,0.934,0.862
104,B,B,WORK,,-1710.0,-250.0,-80.0,180.0,0.0,90.0,1,-1710.0,-800.0,90.0,-713.8,875.0,384.1,178.7,0.3,43.9,1.193,1.076
105,B,B,WORK,,-1710.0,150.0,-80.0,180.0,0.0,90.0,1,-1710.0,-400.0,90.0,-365.1,853.7,384.1,178.7,0.3,23.9,1.005,0.917
106,B,B,WORK,,-1710.0,550.0,-80.0,180.0,0.0,90.0,1,-1710.0,0.0,90.0,-20.7,851.2,384.1,178.7,0.3,3.9,0.934,0.862
107,B,B,WORK,,-1710.0,950.0,-80.0,180.0,0.0,90.0,2,-1710.0,400.0,90.0,-713.8,875.0,384.1,178.7,0.3,43.9,1.193,1.076
108,B,B,WORK,,-1710.0,1350.0,-80.0,180.0,0.0,90.0,2,-1710.0,800.0,90.0,-365.1,853.7,384.1,178.7,0.3,23.9,1.005,0.917
109,B,B,WORK,,-1710.0,1750.0,-80.0,180.0,0.0,90.0,2,-1710.0,1200.0,90.0,-20.7,851.2,384.1,178.7,0.3,3.9,0.934,0.862
110,B,B,WORK,,-1710.0,2150.0,-80.0,180.0,0.0,90.0,2,-1710.0,1600.0,90.0,326.2,867.8,384.1,178.7,0.3,-16.1,1.004,0.917
111,B,B,WORK,,-1710.0,2550.0,-80.0,180.0,0.0,90.0,2,-1710.0,2000.0,90.0,682.1,901.7,384.1,178.7,0.3,-36.1,1.194,1.076
112,B,B,WORK,,-1710.0,2950.0,-80.0,180.0,0.0,90.0,2,-1710.0,2400.0,90.0,1065.0,923.8,384.1,178.7,0.3,-46.1,1.461,1.315
113,C,C,WORK,,1710.0,1850.0,-80.0,180.0,0.0,-90.0,3,1710.0,2400.0,-90.0,-1091.7,892.1,384.1,178.7,0.3,53.9,1.461,1.315
114,C,C,WORK,,1710.0,1450.0,-80.0,180.0,0.0,-90.0,3,1710.0,2000.0,-90.0,-713.8,875.0,384.1,178.7,0.3,43.9,1.193,1.076
115,C,C,WORK,,1710.0,1050.0,-80.0,180.0,0.0,-90.0,3,1710.0,1600.0,-90.0,-365.1,853.7,384.1,178.7,0.3,23.9,1.005,0.917
