tag,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,reach_m
300,-564.267,407.759,14.150,-179.815,0.753,-0.018,0.6963
301,-560.866,557.721,14.240,-179.815,0.753,-0.018,0.7911
302,-414.307,404.359,13.352,-179.815,0.753,-0.018,0.5791
303,-410.906,554.320,13.442,-179.815,0.753,-0.018,0.6901
304,-264.348,400.958,12.553,-179.815,0.753,-0.018,0.4804
305,-260.947,550.919,12.643,-179.815,0.753,-0.018,0.6097
306,-114.389,397.557,11.755,-179.815,0.753,-0.018,0.4139
307,-110.988,547.519,11.845,-179.815,0.753,-0.018,0.5588
308,35.571,394.157,10.957,-179.815,0.753,-0.018,0.3959
309,38.972,544.118,11.046,-179.815,0.753,-0.018,0.5456
