tag,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,off_x_mm,off_y_mm,range_m,dpx_x,dpx_y,tilt_deg,note
300,-566.531,407.837,13.850,-179.823,0.536,-0.018,-11.97,-3.30,0.5052,-14.6,-4.0,1.605,seen
301,-563.088,557.798,13.933,-179.823,0.536,-0.018,-7.70,-3.95,0.5097,-9.5,-4.7,2.581,seen
302,-416.570,404.395,13.619,-179.823,0.536,-0.018,-8.52,-3.16,0.5029,-10.3,-3.9,0.918,seen
303,-413.128,554.356,13.702,-179.823,0.536,-0.018,-4.87,-3.51,0.5040,-5.4,-4.2,1.512,seen
304,-266.610,400.953,13.388,-179.823,0.536,-0.018,-2.88,-2.26,0.5019,-3.7,-2.8,0.634,seen
305,-263.168,550.913,13.471,-179.823,0.536,-0.018,-0.06,-2.31,0.5037,0.4,-2.8,1.434,seen
306,-116.650,397.511,13.157,-179.823,0.536,-0.018,4.41,0.71,0.5010,5.2,0.9,0.726,seen
307,-113.207,547.471,13.240,-179.823,0.536,-0.018,5.91,0.22,0.5035,7.3,0.3,1.177,seen
308,33.311,394.069,12.927,-179.823,0.536,-0.018,11.30,6.41,0.5047,14.0,7.7,2.740,seen
309,36.753,544.029,13.010,-179.823,0.536,-0.018,11.58,4.38,0.5044,14.2,5.3,1.729,seen
