idx,cmd_x_m,cmd_y_m,cmd_h_m,flange_x_mm,flange_y_mm,flange_z_mm,flange_rx,flange_ry,flange_rz,lens_x_m,lens_y_m,lens_h_m,err_x_mm,err_y_mm,err_xy_mm,err_h_mm,tilt_deg,nearest_tag,tag_centre_dpx_x,tag_centre_dpx_y,hand_tags,hand_rms_px,note
1,0.85,0.0,0.5,-752.561,483.075,9.400,-179.733,-0.391,-31.914,0.86697,0.00738,0.50281,16.97,7.38,18.50,2.81,2.032,300,-3.7,-0.6,300 301 302,0.65,ok
2,1.0,0.0,0.5,-749.003,633.031,8.560,-179.733,-0.391,-31.914,0.99152,0.00348,0.50076,-8.48,3.48,9.17,0.76,1.274,301,0.4,-3.9,300 301 302 303,0.77,ok
3,0.85,0.15,0.5,-602.617,479.529,11.458,-179.733,-0.391,-31.914,0.85647,0.14601,0.50126,6.47,-3.99,7.60,1.26,0.653,302,-1.6,-1.6,300 301 302 303 304,0.97,ok
4,1.0,0.15,0.5,-599.059,629.485,10.617,-179.733,-0.391,-31.914,0.98983,0.15105,0.50151,-10.17,1.05,10.22,1.51,1.458,303,2.7,-4.7,301 302 303 304 305,0.87,ok
5,0.85,0.3,0.5,-452.673,475.983,13.515,-179.733,-0.391,-31.914,0.85525,0.29701,0.50358,5.25,-2.99,6.05,3.58,0.751,304,1.8,-3.4,302 303 304 305 306,0.83,ok
6,1.0,0.3,0.5,-449.115,625.938,12.675,-179.733,-0.391,-31.914,0.98855,0.30140,0.50387,-11.45,1.40,11.54,3.87,1.630,305,6.2,-6.0,303 304 305 306 307,0.85,ok
7,0.85,0.45,0.5,-302.729,472.436,15.573,-179.733,-0.391,-31.914,0.85277,0.44815,0.50584,2.77,-1.85,3.33,5.84,1.079,306,7.4,-5.4,304 306 307 308,0.86,ok
8,1.0,0.45,0.5,-299.171,622.392,14.732,-179.733,-0.391,-31.914,0.98730,0.45407,0.50671,-12.70,4.07,13.34,6.71,1.717,307,11.2,-7.4,305 306 307 308 309,0.84,ok
9,0.85,0.6,0.5,-152.785,468.890,17.630,-179.733,-0.391,-31.914,0.86115,0.58829,0.51123,11.15,-11.71,16.17,11.23,3.183,308,15.3,-7.0,306 308 309,0.62,ok
10,1.0,0.6,0.5,-149.227,618.846,16.790,-179.733,-0.391,-31.914,0.97920,0.59428,0.51192,-20.80,-5.72,21.57,11.92,3.274,309,17.7,-8.2,307 308 309,0.65,ok
