tag,x_mm,y_mm,z_mm,rx_deg,ry_deg,rz_deg,reach_m
300,-577.844,415.117,12.947,-179.967,0.610,-0.015,0.7116
301,-574.444,565.078,12.649,-179.967,0.610,-0.015,0.8059
302,-427.883,411.716,12.532,-179.967,0.610,-0.015,0.5939
303,-424.483,561.677,12.234,-179.967,0.610,-0.015,0.7041
304,-277.922,408.315,12.117,-179.967,0.610,-0.015,0.4941
305,-274.522,558.276,11.818,-179.967,0.610,-0.015,0.6222
306,-127.962,404.914,11.701,-179.967,0.610,-0.015,0.4248
307,-124.562,554.875,11.403,-179.967,0.610,-0.015,0.5688
308,21.999,401.513,11.286,-179.967,0.610,-0.015,0.4023
309,25.399,551.475,10.988,-179.967,0.610,-0.015,0.5522
