seq,recorded_at,path_tag_id,ref_tag_id,attempt,status,x_m,y_m,z_m,error,file
1,2026-09-22T16:51:03.394,100,0,1,fail,,,,base nav to path_tag_id=100 failed,001_tag100_attempt1_fail.yaml
2,2026-09-22T16:51:03.735,100,0,2,fail,,,,base nav to path_tag_id=100 failed,002_tag100_attempt2_fail.yaml
3,2026-09-22T16:51:04.084,101,0,1,fail,,,,base nav to path_tag_id=101 failed,003_tag101_attempt1_fail.yaml
4,2026-09-22T16:51:04.430,101,0,2,fail,,,,base nav to path_tag_id=101 failed,004_tag101_attempt2_fail.yaml
5,2026-09-22T16:51:04.781,102,0,1,fail,,,,base nav to path_tag_id=102 failed,005_tag102_attempt1_fail.yaml
6,2026-09-22T16:51:05.134,102,0,2,fail,,,,base nav to path_tag_id=102 failed,006_tag102_attempt2_fail.yaml
7,2026-09-22T16:51:05.486,103,0,1,fail,,,,base nav to path_tag_id=103 failed,007_tag103_attempt1_fail.yaml
8,2026-09-22T16:51:05.838,103,0,2,fail,,,,base nav to path_tag_id=103 failed,008_tag103_attempt2_fail.yaml
9,2026-09-22T16:51:06.187,104,0,1,fail,,,,base nav to path_tag_id=104 failed,009_tag104_attempt1_fail.yaml
10,2026-09-22T16:51:06.534,104,0,2,fail,,,,base nav to path_tag_id=104 failed,010_tag104_attempt2_fail.yaml
11,2026-09-22T16:51:06.892,105,1,1,fail,,,,base nav to path_tag_id=105 failed,011_tag105_attempt1_fail.yaml
12,2026-09-22T16:51:07.241,105,1,2,fail,,,,base nav to path_tag_id=105 failed,012_tag105_attempt2_fail.yaml
13,2026-09-22T16:51:07.594,106,1,1,fail,,,,base nav to path_tag_id=106 failed,013_tag106_attempt1_fail.yaml
14,2026-09-22T16:51:07.946,106,1,2,fail,,,,base nav to path_tag_id=106 failed,014_tag106_attempt2_fail.yaml
15,2026-09-22T16:51:08.308,107,1,1,fail,,,,base nav to path_tag_id=107 failed,015_tag107_attempt1_fail.yaml
16,2026-09-22T16:51:08.658,107,1,2,fail,,,,base nav to path_tag_id=107 failed,016_tag107_attempt2_fail.yaml
17,2026-09-22T16:51:09.018,108,2,1,fail,,,,base nav to path_tag_id=108 failed,017_tag108_attempt1_fail.yaml
18,2026-09-22T16:51:09.375,108,2,2,fail,,,,base nav to path_tag_id=108 failed,018_tag108_attempt2_fail.yaml
19,2026-09-22T16:51:09.736,109,2,1,fail,,,,base nav to path_tag_id=109 failed,019_tag109_attempt1_fail.yaml
20,2026-09-22T16:51:10.094,109,2,2,fail,,,,base nav to path_tag_id=109 failed,020_tag109_attempt2_fail.yaml
21,2026-09-22T16:51:10.460,110,2,1,fail,,,,base nav to path_tag_id=110 failed,021_tag110_attempt1_fail.yaml
22,2026-09-22T16:51:10.815,110,2,2,fail,,,,base nav to path_tag_id=110 failed,022_tag110_attempt2_fail.yaml
23,2026-09-22T16:51:11.173,111,2,1,fail,,,,base nav to path_tag_id=111 failed,023_tag111_attempt1_fail.yaml
24,2026-09-22T16:51:11.531,111,2,2,fail,,,,base nav to path_tag_id=111 failed,024_tag111_attempt2_fail.yaml
25,2026-09-22T16:51:11.902,112,2,1,fail,,,,base nav to path_tag_id=112 failed,025_tag112_attempt1_fail.yaml
26,2026-09-22T16:51:12.280,112,2,2,fail,,,,base nav to path_tag_id=112 failed,026_tag112_attempt2_fail.yaml
27,2026-09-22T16:51:12.669,113,3,1,fail,,,,base nav to path_tag_id=113 failed,027_tag113_attempt1_fail.yaml
28,2026-09-22T16:51:13.034,113,3,2,fail,,,,base nav to path_tag_id=113 failed,028_tag113_attempt2_fail.yaml
