tag,zone,map_x,map_y,map_z,A_x,A_y,A_z,B_x,B_y,B_z,A-map_dx_mm,A-map_dy_mm,B-map_dx_mm,B-map_dy_mm,B-A_dx_mm,B-A_dy_mm,B-A_dz_mm
127,D,2.18,-1.45,-0.08,,,,2.1184,-1.4079,0.0085,,,-62,42,,,
128,D,2.18,-1.05,-0.08,2.1366,-0.993,-0.0737,2.1506,-0.9765,-0.027,-43,57,-29,73,14,16,47
129,D,2.18,-0.65,-0.08,2.1659,-0.5808,-0.0529,2.1645,-0.5805,-0.0079,-14,69,-15,69,-1,0,45
130,D,2.18,-0.25,-0.08,2.1256,-0.2089,-0.087,2.1268,-0.2095,-0.0831,-54,41,-53,41,1,-1,4
131,D,2.18,0.15,-0.08,2.1474,0.2239,-0.0837,2.178,0.252,-0.077,-33,74,-2,102,31,28,7
132,D,2.18,0.55,-0.08,2.1702,0.614,-0.1053,2.1699,0.6285,-0.0972,-10,64,-10,79,0,15,8
133,D,2.18,0.95,-0.08,2.1225,0.9915,-0.0803,2.127,0.9849,-0.0662,-57,41,-53,35,4,-7,14
134,D,2.18,1.35,-0.08,2.1448,1.4053,-0.0482,2.1442,1.4111,-0.0464,-35,55,-36,61,-1,6,2
135,D,2.18,1.75,-0.08,2.1673,1.8248,-0.0849,2.1663,1.8213,-0.0208,-13,75,-14,71,-1,-3,64
136,D,2.18,2.15,-0.08,2.1942,2.2173,-0.115,2.1922,2.2178,-0.0615,14,67,12,68,-2,1,54
137,D,2.18,2.55,-0.08,2.2183,2.6232,-0.0299,2.2181,2.6258,-0.0361,38,73,38,76,0,3,-6
139,E,5.6,1.45,-0.08,5.6682,1.4186,-0.057,5.6681,1.4186,-0.0614,68,-31,68,-31,0,0,-4
140,E,5.6,1.05,-0.08,5.649,0.9995,-0.0637,5.6504,0.9991,-0.0281,49,-50,50,-51,1,0,36
141,E,5.6,0.65,-0.08,5.6287,0.5881,-0.0359,5.6278,0.5896,-0.0596,29,-62,28,-60,-1,1,-24
142,E,5.6,0.25,-0.08,5.6731,0.2201,-0.0698,5.6733,0.2185,-0.0643,73,-30,73,-32,0,-2,6
143,E,5.6,-0.15,-0.08,5.6564,-0.1979,-0.0477,5.6554,-0.1983,-0.0684,56,-48,55,-48,-1,0,-21
144,E,5.6,-0.55,-0.08,5.6336,-0.6081,-0.0544,5.6313,-0.6083,-0.0875,34,-58,31,-58,-2,0,-33
145,E,5.6,-0.95,-0.08,5.6755,-0.9793,-0.0229,5.6749,-0.9811,-0.0483,75,-29,75,-31,-1,-2,-25
146,E,5.6,-1.35,-0.08,5.6572,-1.4006,-0.0299,5.6564,-1.3999,-0.0428,57,-51,56,-50,-1,1,-13
147,E,5.6,-1.75,-0.08,5.6345,-1.8098,-0.0291,5.634,-1.8092,-0.0325,34,-60,34,-59,-1,1,-3
148,E,5.6,-2.15,-0.08,5.6103,-2.2116,-0.0194,5.6129,-2.2087,-0.0147,10,-62,13,-59,3,3,5
149,E,5.6,-2.55,-0.08,5.5868,-2.6045,-0.0214,5.5883,-2.6036,0.0133,-13,-54,-12,-54,2,1,35
