index,timestamp,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,image,pose
0,20260914_184205,-290.682,799.876,196.954,-179.1660,-0.5335,0.0278,samples/0000_image.png,samples/0000_pose.npz
1,20260914_184211,-363.278,981.118,147.261,169.1569,-0.3174,0.0248,samples/0001_image.png,samples/0001_pose.npz
2,20260914_184215,-362.125,964.458,48.638,169.1577,-0.3181,0.0251,samples/0002_image.png,samples/0002_pose.npz
3,20260914_184218,-360.970,947.842,-49.946,169.1582,-0.3171,0.0241,samples/0003_image.png,samples/0003_pose.npz
4,20260914_184224,-441.486,830.742,-76.790,-179.1227,1.4608,-29.9242,samples/0004_image.png,samples/0004_pose.npz
5,20260914_184228,-441.654,826.502,23.122,-179.1294,1.4588,-29.9182,samples/0005_image.png,samples/0005_pose.npz
6,20260914_184231,-441.844,822.339,123.067,-179.1254,1.4621,-29.9173,samples/0006_image.png,samples/0006_pose.npz
7,20260914_184236,-435.188,686.462,67.870,-168.9402,7.8712,-29.0406,samples/0007_image.png,samples/0007_pose.npz
8,20260914_184240,-436.009,711.363,-28.977,-168.9416,7.8723,-29.0395,samples/0008_image.png,samples/0008_pose.npz
9,20260914_184243,-436.824,736.236,-125.832,-168.9417,7.8719,-29.0399,samples/0009_image.png,samples/0009_pose.npz
10,20260914_184248,-347.816,680.290,-176.355,-156.8722,1.1985,0.4317,samples/0010_image.png,samples/0010_pose.npz
11,20260914_184252,-346.205,639.000,-85.268,-156.8732,1.1995,0.4237,samples/0011_image.png,samples/0011_pose.npz
12,20260914_184255,-344.587,597.699,5.791,-156.8737,1.1999,0.4244,samples/0012_image.png,samples/0012_pose.npz
13,20260914_184304,-222.058,838.366,-9.666,168.6291,19.9012,-31.2945,samples/0013_image.png,samples/0013_pose.npz
14,20260914_184307,-259.331,840.500,-102.438,168.6391,19.9007,-31.2879,samples/0014_image.png,samples/0014_pose.npz
15,20260914_184314,-184.811,836.201,83.111,168.6353,19.9002,-31.2882,samples/0015_image.png,samples/0015_pose.npz
16,20260914_184321,-150.774,900.586,84.442,-173.6316,9.6649,30.9753,samples/0016_image.png,samples/0016_pose.npz
17,20260914_184324,-171.386,903.751,-13.347,-173.6284,9.6653,30.9725,samples/0017_image.png,samples/0017_pose.npz
18,20260914_184328,-191.977,906.880,-111.160,-173.6300,9.6651,30.9717,samples/0018_image.png,samples/0018_pose.npz
19,20260914_184335,-298.231,1088.297,-62.138,161.0732,8.9957,28.5539,samples/0019_image.png,samples/0019_pose.npz
20,20260914_184343,-479.343,891.063,-59.942,170.3799,-20.4443,31.0655,samples/0020_image.png,samples/0020_pose.npz
21,20260914_184347,-516.920,885.405,32.563,170.3785,-20.4432,31.0662,samples/0021_image.png,samples/0021_pose.npz
22,20260914_184351,-554.497,879.719,125.059,170.3778,-20.4422,31.0671,samples/0022_image.png,samples/0022_pose.npz
