group_id,point_id,robot_x,robot_y,robot_theta,tcp_x_mm,tcp_y_mm,tcp_z_mm,tcp_rx_deg,tcp_ry_deg,tcp_rz_deg,world_x,world_y,world_z
105,1,-2.0,0.394193,89.7905,-205.9213,1585.9404,-356.1339,-179.788,-2.1817,-0.0082,1.188583432,2.20631277,0.598121781
105,2,-2.0,0.394193,89.7905,-205.9369,1555.5308,-356.4447,-179.7295,-2.1811,-0.0106,1.158377184,2.206316193,0.598003436
105,3,-2.0,0.394193,89.7905,-205.9291,1525.3082,-356.5336,-179.655,-2.1835,-0.0134,1.128170937,2.206319616,0.597884825
105,4,-2.0,0.394193,89.7905,-205.9529,1494.5891,-356.7932,-179.3952,-2.1931,-0.0241,1.097443633,2.206346052,0.59764779
105,5,-2.0,0.394193,89.7905,-205.9523,1464.3549,-357.0759,-179.3009,-2.1974,-0.0279,1.067187289,2.206356762,0.597317091
105,6,-2.0,0.394193,89.7905,-205.9981,1433.688,-357.4863,-179.0555,-2.2142,-0.0359,1.03650357,2.206399154,0.596907127
105,7,-2.0,0.394193,89.7905,-206.035,1403.449,-357.921,-178.9423,-2.2171,-0.0402,1.006210304,2.206417319,0.59638288
105,8,-2.0,0.394193,89.7905,-206.0441,1372.8616,-358.5197,-178.7286,-2.2352,-0.0498,0.975612867,2.20646403,0.595796352
105,9,-2.0,0.394193,89.7905,-206.0639,1342.4153,-359.2257,-178.5562,-2.249,-0.0598,0.945143686,2.206502,0.595060972
105,10,-2.0,0.394193,89.7905,-206.1079,1311.8939,-360.0134,-178.3575,-2.2674,-0.0655,0.914597059,2.206551107,0.594268508
105,11,-2.0,0.394193,89.7905,-206.1695,1281.2556,-360.9867,-178.119,-2.2902,-0.0749,0.883947224,2.206612915,0.593299396
105,12,-2.0,0.394193,89.7905,-206.262,1250.7285,-361.9677,-177.8934,-2.3087,-0.0834,0.853343778,2.206672487,0.592257423
105,13,-2.0,0.394193,89.7905,-206.3282,1219.978,-363.1902,-177.6051,-2.3379,-0.0971,0.822563003,2.206752963,0.591021756
105,14,-2.0,0.394193,89.7905,-206.3794,1189.2854,-364.5218,-177.3278,-2.3665,-0.1097,0.791823573,2.206829958,0.589667807
105,15,-2.0,0.394193,89.7905,-206.4488,1158.4098,-366.064,-176.9793,-2.4002,-0.1274,0.760890462,2.206927213,0.5881164
105,16,-2.0,0.394193,89.7905,-206.573,1127.6062,-367.7431,-176.6302,-2.4314,-0.1427,0.729981501,2.207023179,0.586362964
105,17,-2.0,0.394193,89.7905,-206.6999,1097.0314,-369.6567,-176.41,-2.4859,-0.1561,0.699418974,2.207174299,0.584461189
105,18,-2.0,0.394193,89.7905,-206.7248,1093.6748,-369.8542,-176.3941,-2.4927,-0.1584,0.695933848,2.207196875,0.584239313
105,19,-2.0,0.394193,89.7905,-176.7277,1094.6324,-368.4929,-176.3973,-2.4913,-0.1517,0.696921811,2.177196875,0.585611882
105,20,-2.0,0.394193,89.7905,-176.5725,1125.2687,-366.7879,-176.695,-2.424,-0.1387,0.727655167,2.177009543,0.587484267
105,21,-2.0,0.394193,89.7905,-176.4283,1156.4944,-364.9521,-177.1704,-2.3799,-0.1179,0.758934035,2.176881589,0.589288306
105,22,-2.0,0.394193,89.7905,-176.3951,1186.9745,-363.4854,-177.3729,-2.3574,-0.1071,0.789459815,2.176820065,0.590781575
105,23,-2.0,0.394193,89.7905,-176.3082,1217.8999,-362.1046,-177.7321,-2.3232,-0.0916,0.820434561,2.176723114,0.592171397
105,24,-2.0,0.394193,89.7905,-176.2601,1248.4355,-360.8894,-177.9289,-2.3027,-0.082,0.850968229,2.176664077,0.593366462
105,25,-2.0,0.394193,89.7905,-176.193,1279.1027,-359.8682,-178.2008,-2.2776,-0.0707,0.881700009,2.176594999,0.594434604
105,26,-2.0,0.394193,89.7905,-176.1501,1309.6562,-358.9014,-178.3994,-2.258,-0.062,0.912247816,2.176540702,0.595376227
105,27,-2.0,0.394193,89.7905,-176.1003,1340.1887,-358.1144,-178.6085,-2.2409,-0.0532,0.942821883,2.176491903,0.596188032
105,28,-2.0,0.394193,89.7905,-176.0433,1370.7026,-357.4,-178.8024,-2.2248,-0.0461,0.973353551,2.176447287,0.596906599
105,29,-2.0,0.394193,89.7905,-176.0108,1401.1393,-356.8481,-178.9808,-2.2125,-0.0389,1.003840204,2.176412187,0.597506885
105,30,-2.0,0.394193,89.7905,-175.9996,1431.6558,-356.2758,-179.1541,-2.201,-0.0298,1.034331136,2.176380213,0.598023515
105,31,-2.0,0.394193,89.7905,-175.9706,1462.0428,-355.9334,-179.3223,-2.191,-0.0247,1.064784007,2.176354649,0.598442585
