group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected,lift_height
118,1,-1.63507379,-0.099738063,0.584655527,-2.059828192,-1.608178937,-0.064326244,FALSE,150.0
118,2,-1.63668466,-0.162208867,0.735769043,-2.152150478,-1.60782788,-0.065936492,FALSE,150.0
118,3,-1.638315599,-0.212169937,0.859120497,-2.227600211,-1.607625115,-0.067567158,FALSE,150.0
118,4,-1.640165423,-0.255253716,0.970716511,-2.300453815,-1.607060359,-0.069413918,FALSE,150.0
118,5,-1.642042983,-0.292464658,1.069382894,-2.364636536,-1.606657102,-0.071289107,FALSE,150.0
118,6,-1.644190189,-0.325630708,1.162216432,-2.428688416,-1.605825153,-0.073429987,FALSE,150.0
118,7,-1.646329538,-0.355095986,1.246861498,-2.486528398,-1.605280821,-0.075564985,FALSE,150.0
118,8,-1.648915417,-0.381538433,1.329261744,-2.547723029,-1.603960942,-0.078138356,FALSE,150.0
118,9,-1.651332933,-0.405268226,1.404525995,-2.601580513,-1.603347977,-0.080549881,FALSE,150.0
118,10,-1.650989019,-0.425794842,1.478664514,-2.661216972,-1.609114745,-0.080207766,FALSE,150.0
118,11,-1.646648333,-0.443474896,1.546747343,-2.71577677,-1.623403694,-0.075900431,FALSE,150.0
118,12,-1.647042184,-0.459373605,1.613411181,-2.770410543,-1.627309335,-0.076307081,FALSE,150.0
118,13,-1.651385084,-0.473415034,1.678812141,-2.825608647,-1.623287475,-0.080628292,FALSE,150.0
118,14,-1.657848139,-0.484944759,1.743299453,-2.883412493,-1.615656627,-0.087034087,FALSE,150.0
118,15,-1.660938487,-0.492902607,1.805412775,-2.943655528,-1.615213023,-0.09009198,FALSE,150.0
118,16,-1.662543581,-0.498464035,1.849025943,-2.983169666,-1.616503999,-0.09169558,FALSE,150.0
118,17,-1.709242601,-0.505611341,1.925007642,-3.058439707,-1.602924625,-0.138243775,FALSE,150.0
118,18,-1.712226093,-0.50156881,1.870121116,-3.004401032,-1.58890202,-0.141184749,FALSE,150.0
118,19,-1.706642402,-0.496335873,1.809519317,-2.942833977,-1.590675396,-0.135666122,FALSE,150.0
118,20,-1.701001796,-0.487775855,1.747625703,-2.884527832,-1.593246043,-0.130075738,FALSE,150.0
118,21,-1.695526418,-0.476908821,1.682983711,-2.824864978,-1.596188965,-0.124650893,FALSE,150.0
118,22,-1.690778055,-0.463178422,1.61716819,-2.768201869,-1.598300568,-0.119935964,FALSE,150.0
118,23,-1.686306145,-0.447100408,1.548087672,-2.709673552,-1.60041323,-0.115496467,FALSE,150.0
118,24,-1.682480842,-0.428271236,1.478442668,-2.655777519,-1.601654818,-0.111687449,FALSE,150.0
118,25,-1.678695791,-0.407157741,1.403634078,-2.596747813,-1.603284687,-0.107924447,FALSE,150.0
118,26,-1.675482709,-0.383315135,1.328150483,-2.542738799,-1.604050697,-0.104719432,FALSE,150.0
118,27,-1.672235894,-0.356709992,1.245594447,-2.481591653,-1.605300587,-0.101487011,FALSE,150.0
118,28,-1.66946086,-0.327151112,1.161532235,-2.425118629,-1.605794434,-0.09871575,FALSE,150.0
118,29,-1.666641978,-0.293723762,1.067432345,-2.359201463,-1.606746757,-0.095905666,FALSE,150.0
118,30,-1.664192994,-0.256463741,0.969434182,-2.296454945,-1.60709441,-0.093458279,FALSE,150.0
118,31,-1.664362181,-0.213356497,0.857113513,-2.221749026,-1.600831794,-0.093610989,FALSE,150.0
118,32,-1.664807206,-0.164323038,0.737310954,-2.150277526,-1.593802221,-0.094038629,FALSE,150.0
118,33,-1.664524957,-0.104499361,0.594832671,-2.067103134,-1.58872894,-0.093746579,FALSE,150.0
118,34,-1.688278597,-0.128310365,0.648081499,-2.094102642,-1.587787821,-0.117502974,FALSE,150.0
118,35,-1.691135654,-0.184863148,0.785289752,-2.176960001,-1.587444255,-0.120359016,FALSE,150.0
118,36,-1.694217469,-0.232325587,0.904845999,-2.252689547,-1.586868293,-0.123437577,FALSE,150.0
118,37,-1.697462303,-0.272885842,1.01024962,-2.320585968,-1.586259836,-0.126678163,FALSE,150.0
118,38,-1.700935538,-0.308669522,1.106937766,-2.385033704,-1.585486211,-0.130144422,FALSE,150.0
118,39,-1.704630387,-0.340412115,1.196142417,-2.445788431,-1.584606821,-0.133830717,FALSE,150.0
118,40,-1.708566847,-0.368888017,1.279866478,-2.504457741,-1.583615996,-0.137756025,FALSE,150.0
118,41,-1.712833311,-0.394382528,1.359274152,-2.562108541,-1.582354499,-0.142007456,FALSE,150.0
118,42,-1.717351307,-0.417252783,1.434673711,-2.61824195,-1.581060992,-0.146507976,FALSE,150.0
118,43,-1.722411926,-0.437434498,1.50761085,-2.675550018,-1.579145977,-0.151541938,FALSE,150.0
118,44,-1.727582431,-0.455404102,1.576731673,-2.730232314,-1.57763107,-0.156688066,FALSE,150.0
118,45,-1.733736957,-0.470393273,1.645153841,-2.789418223,-1.574734129,-0.162796422,FALSE,150.0
118,46,-1.739651507,-0.483678894,1.709207584,-2.843422711,-1.573087991,-0.168678885,FALSE,150.0
