group_id,point_id,q1,q2,q3,q4,q5,q6,collision_detected
118,1,-1.635073805,-0.105741713,0.58907892,-2.058247934,-1.608178934,-0.064326263,FALSE
118,2,-1.63668467,-0.167962854,0.739438058,-2.150065514,-1.607827883,-0.065936496,FALSE
118,3,-1.638315612,-0.217838376,0.862388426,-2.225199696,-1.607625114,-0.067567174,FALSE
118,4,-1.640165433,-0.260916615,0.973743407,-2.297817815,-1.60706036,-0.069413926,FALSE
118,5,-1.642042979,-0.298162674,1.072251262,-2.361806892,-1.606657114,-0.071289077,FALSE
118,6,-1.644190184,-0.331397591,1.16498529,-2.425690388,-1.605825155,-0.073429966,FALSE
118,7,-1.646329545,-0.360949266,1.249562213,-2.483375835,-1.605280825,-0.075564985,FALSE
118,8,-1.648915424,-0.387503446,1.331931527,-2.544427802,-1.603960949,-0.07813835,FALSE
118,9,-1.651332952,-0.411351807,1.407175087,-2.598146025,-1.603347975,-0.080549902,FALSE
118,10,-1.650989037,-0.432020243,1.481326796,-2.657653853,-1.609114744,-0.080207785,FALSE
118,11,-1.646648352,-0.449846942,1.549432805,-2.712090184,-1.623403694,-0.075900454,FALSE
118,12,-1.647042202,-0.465905878,1.616131656,-2.766598755,-1.627309337,-0.076307102,FALSE
118,13,-1.651385101,-0.480121393,1.681579339,-2.821669487,-1.623287478,-0.080628303,FALSE
118,14,-1.65784816,-0.491841383,1.746131277,-2.87934769,-1.615656622,-0.087034109,FALSE
118,15,-1.660938513,-0.500001618,1.808331777,-2.939475522,-1.61521302,-0.090092007,FALSE
118,16,-1.6625436,-0.505712763,1.852002334,-2.978897334,-1.616503999,-0.091695599,FALSE
118,17,-1.70924263,-0.513141634,1.928099293,-3.054001056,-1.602924612,-0.138243799,FALSE
118,18,-1.712226115,-0.50889184,1.873120202,-3.000077088,-1.588902019,-0.14118477,FALSE
118,19,-1.706642419,-0.503443191,1.812415945,-2.938623287,-1.590675396,-0.135666135,FALSE
118,20,-1.701001813,-0.494681097,1.750441335,-2.880438221,-1.593246044,-0.130075752,FALSE
118,21,-1.695526437,-0.483620016,1.685727256,-2.820897329,-1.596188965,-0.124650911,FALSE
118,22,-1.690778069,-0.469711638,1.619859882,-2.764360342,-1.598300573,-0.119935969,FALSE
118,23,-1.686306158,-0.453464819,1.550737756,-2.705959223,-1.600413231,-0.115496476,FALSE
118,24,-1.682480859,-0.434487105,1.481076088,-2.652195062,-1.601654818,-0.111687464,FALSE
118,25,-1.678695815,-0.413231268,1.406257645,-2.593297851,-1.603284684,-0.107924476,FALSE
118,26,-1.675482728,-0.389269322,1.330794093,-2.539428222,-1.604050695,-0.104719454,FALSE
118,27,-1.672235913,-0.362552076,1.248269064,-2.478424188,-1.605300584,-0.101487037,FALSE
118,28,-1.66946088,-0.332908214,1.164277103,-2.422106394,-1.605794433,-0.098715772,FALSE
118,29,-1.666641995,-0.299409179,1.07027341,-2.356357111,-1.606746756,-0.095905684,FALSE
118,30,-1.664192996,-0.262115272,0.972435326,-2.293804558,-1.607094414,-0.093458272,FALSE
118,31,-1.664362196,-0.219010658,0.86034998,-2.219331329,-1.600831795,-0.093611004,FALSE
118,32,-1.664807217,-0.170062198,0.740942297,-2.148169712,-1.593802223,-0.094038635,FALSE
118,33,-1.664524969,-0.110473696,0.599178748,-2.065474882,-1.588728942,-0.093746591,FALSE
118,34,-1.688278607,-0.134162422,0.652088795,-2.092257886,-1.587787868,-0.117502965,FALSE
