target_line,group_id,point_id,q1,q2,q3,q4,q5,q6,is_discontinuous,is_task_waypoint,source_point_id,waypoint_kind,speed,base_normal_error_mm,base_x_actual_mm,standoff_mm,base_height_mm,lift_mm
1,132,1,-1.5708,-1.5708,1.5708,-1.5708,-1.5708,0,0,0,,home,30,0,-1610,50,652,0
1,132,2,-1.590414528,-1.475393798,1.491162587,-1.586864567,-1.572623473,-0.01962342794,0,0,,transition,10,0,-1610,50,652,0
1,132,3,-1.610029057,-1.379987595,1.411525174,-1.602929135,-1.574446945,-0.03924685587,0,0,,transition,10,0,-1610,50,652,0
1,132,4,-1.629643585,-1.284581393,1.331887761,-1.618993702,-1.576270418,-0.05887028381,0,0,,transition,10,0,-1610,50,652,0
1,132,5,-1.649258114,-1.189175191,1.252250348,-1.635058269,-1.57809389,-0.07849371175,0,0,,transition,10,0,-1610,50,652,0
1,132,6,-1.668872642,-1.093768989,1.172612935,-1.651122836,-1.579917363,-0.09811713968,0,0,,transition,10,0,-1610,50,652,0
1,132,7,-1.68848717,-0.9983627864,1.092975522,-1.667187404,-1.581740836,-0.1177405676,0,0,,transition,10,0,-1610,50,652,0
1,132,8,-1.708101699,-0.9029565841,1.013338109,-1.683251971,-1.583564308,-0.1373639956,0,0,,transition,10,0,-1610,50,652,0
1,132,9,-1.727716227,-0.8075503818,0.933700696,-1.699316538,-1.585387781,-0.1569874235,0,0,,transition,10,0,-1610,50,652,0
1,132,10,-1.747330756,-0.7121441796,0.854063283,-1.715381105,-1.587211254,-0.1766108514,0,0,,transition,10,0,-1610,50,652,0
1,132,11,-1.766945284,-0.6167379773,0.77442587,-1.731445673,-1.589034726,-0.1962342794,0,0,,transition,10,0,-1610,50,652,0
1,132,12,-1.786559812,-0.521331775,0.694788457,-1.74751024,-1.590858199,-0.2158577073,0,0,,transition,10,0,-1610,50,652,0
1,132,13,-1.806174341,-0.4259255728,0.615151044,-1.763574807,-1.592681671,-0.2354811352,0,0,,transition,10,0,-1610,50,652,0
1,132,14,-1.825788869,-0.3305193705,0.535513631,-1.779639374,-1.594505144,-0.2551045632,0,0,,transition,10,0,-1610,50,652,0
1,132,15,-1.845403398,-0.2351131682,0.455876218,-1.795703942,-1.596328617,-0.2747279911,0,0,,transition,10,0,-1610,50,652,0
1,132,16,-1.865017926,-0.139706966,0.376238805,-1.811768509,-1.598152089,-0.294351419,0,0,,transition,10,0,-1610,50,652,0
1,132,17,-1.884632454,-0.04430076369,0.296601392,-1.827833076,-1.599975562,-0.313974847,0,1,1,task,30,0,-1610,50,652,0
1,132,18,-1.887013228,-0.07753706091,0.370824167,-1.868144698,-1.599619401,-0.316352249,0,0,,transition,30,0,-1610,50,652,0
1,132,19,-1.889394001,-0.1107733581,0.445046942,-1.908456319,-1.59926324,-0.3187296509,0,0,,transition,30,0,-1610,50,652,0
1,132,20,-1.891774774,-0.1440096553,0.519269717,-1.94876794,-1.598907079,-0.3211070529,0,1,2,task,30,0,-1610,50,652,0
1,132,21,-1.895497967,-0.1779595009,0.5959993412,-1.990532154,-1.598387906,-0.3248247196,0,0,,transition,30,0,-1610,50,652,0
1,132,22,-1.89922116,-0.2119093465,0.6727289654,-2.032296368,-1.597868734,-0.3285423863,0,1,3,task,30,0,-1610,50,652,0
1,132,23,-1.902804991,-0.2393420532,0.7353772107,-2.066623138,-1.598387659,-0.3321290205,0,0,,transition,30,0,-1610,50,652,0
1,132,24,-1.906388822,-0.26677476,0.7980254561,-2.100949909,-1.598906584,-0.3357156548,0,1,4,task,30,0,-1610,50,652,0
1,132,25,-1.909897128,-0.2903706081,0.8524827108,-2.131038479,-1.600217961,-0.3392338921,0,0,,transition,30,0,-1610,50,652,0
1,132,26,-1.913405435,-0.3139664561,0.9069399656,-2.161127048,-1.601529337,-0.3427521294,0,1,5,task,30,0,-1610,50,652,0
1,132,27,-1.920740951,-0.3558742373,1.004799178,-2.21557997,-1.60417623,-0.3501089295,0,1,6,task,30,0,-1610,50,652,0
1,132,28,-1.928417275,-0.3938472207,1.094582097,-2.265942143,-1.606848379,-0.3578081514,0,1,7,task,30,0,-1610,50,652,0
1,132,29,-1.936637487,-0.4289513952,1.177797861,-2.312179751,-1.608987223,-0.36604295,0,1,8,task,30,0,-1610,50,652,0
1,132,30,-1.945494615,-0.4618797287,1.255638995,-2.354628857,-1.610430558,-0.3749002835,0,1,9,task,30,0,-1610,50,652,0
1,132,31,-1.954785143,-0.4927351585,1.329457335,-2.395170795,-1.611925458,-0.3841888185,0,1,10,task,30,0,-1610,50,652,0
1,132,32,-1.964540894,-0.5217950453,1.39989604,-2.43417535,-1.61347516,-0.393940345,0,1,11,task,30,0,-1610,50,652,0
1,132,33,-1.974796795,-0.5492657701,1.467448077,-2.471933564,-1.615083142,-0.4041897718,0,1,12,task,30,0,-1610,50,652,0
